total_latency_ms,cache_hit_rate,cache_miss_rate,expert_loads,cache_misses,memory_usage_mb,l1_hit_rate,l2_hit_rate,l3_hit_rate,strategy,strategy_name,batch_size,run,sequence_length,complexity_score,timestamp
1981.0336162601689,0.9193509028794534,0.0806490971205466,1314,1314,883.5,0.9193509028794534,0.0,0.0,A,On-Demand,8,0,2048,1.0,2025-07-21T21:44:18.813758
2011.919215540472,0.917276720351391,0.08272327964860908,1348,1348,883.5,0.917276720351391,0.0,0.0,A,On-Demand,8,1,2048,1.0,2025-07-21T21:44:18.894277
1960.8130050172665,0.9208150317227916,0.07918496827720839,1290,1290,883.5,0.9208150317227916,0.0,0.0,A,On-Demand,8,2,2048,1.0,2025-07-21T21:44:18.976168
2049.6061440404496,0.9145924841386042,0.0854075158613958,1392,1392,912.0,0.9145924841386042,0.0,0.0,A,On-Demand,8,3,2048,1.0,2025-07-21T21:44:19.056680
2058.4662376145125,0.91398243045388,0.08601756954612005,1402,1402,883.5,0.91398243045388,0.0,0.0,A,On-Demand,8,4,2048,1.0,2025-07-21T21:44:19.136038
2039.6857822389645,0.9152635431918009,0.08473645680819912,1381,1381,912.0,0.9152635431918009,0.0,0.0,A,On-Demand,8,5,2048,1.0,2025-07-21T21:44:19.215540
2022.1801133642246,0.9166056612981942,0.08339433870180576,1359,1359,883.5,0.9166056612981942,0.0,0.0,A,On-Demand,8,6,2048,1.0,2025-07-21T21:44:19.295635
1930.150110970602,0.923011224987799,0.07698877501220107,1254,1254,883.5,0.923011224987799,0.0,0.0,A,On-Demand,8,7,2048,1.0,2025-07-21T21:44:19.375053
2046.1184116807553,0.9150195217179111,0.08498047828208882,1385,1385,883.5,0.9150195217179111,0.0,0.0,A,On-Demand,8,8,2048,1.0,2025-07-21T21:44:19.454723
1962.1485805503855,0.9205710102489019,0.07942898975109809,1294,1294,883.5,0.9205710102489019,0.0,0.0,A,On-Demand,8,9,2048,1.0,2025-07-21T21:44:19.534073
1961.5152751917058,0.9207540263543191,0.07924597364568083,1291,1291,883.5,0.9207540263543191,0.0,0.0,A,On-Demand,16,0,2048,1.0,2025-07-21T21:44:19.615434
