strategy,strategy_display_name,category,batch_size,replication,total_latency,l1_hit_rate,l2_hit_rate,l3_hit_rate,overall_hit_rate,miss_rate,average_cache_latency,total_accesses,deduplication_efficiency
intelligent_dedup_ours,Intelligent+Deduplication (Ours),Our Complete Solution,32,4,115035.60000000002,0.08965289256198347,0.15788429752066116,0.000859504132231405,0.24839669421487598,0.751603305785124,7.605659504132232,15125,21.223958333333336
on_demand,On-Demand,Baseline,64,0,272983.19999999984,0.12283854166666666,0.12497395833333333,0.06096354166666667,0.3087760416666666,0.6912239583333334,7.108937500000001,38400,0.0
pregated_moe,Pre-gated MoE,Paper Baseline,64,0,271891.69999999984,0.124140625,0.12755208333333334,0.05984375,0.3115364583333333,0.6884635416666667,7.080513020833334,38400,0.0
expertflow_plec,ExpertFlow PLEC,Paper Baseline,64,0,283276.6000000001,0.123203125,0.12497395833333333,0.027005208333333332,0.27518229166666663,0.7248177083333334,7.376994791666666,38400,0.0
topk_ours,Top-K (Ours),Our Contribution,64,0,243300.0,0.0,0.0,0.0,0.0,1.0,10.0,24330,0.0
multilook_ours,Multi-Look-Ahead (Ours),Our Contribution,64,0,243300.0,0.0,0.0,0.0,0.0,1.0,10.0,24330,0.0
intelligent_dedup_ours,Intelligent+Deduplication (Ours),Our Complete Solution,64,0,185454.30000000005,0.010604192355117139,0.23727907932593506,0.002301685162351007,0.25018495684340325,0.7498150431565967,7.622453760789149,24330,36.640625
on_demand,On-Demand,Baseline,64,1,273967.60000000003,0.1228125,0.12458333333333334,0.058255208333333336,0.3056510416666667,0.6943489583333333,7.1345729166666665,38400,0.0
pregated_moe,Pre-gated MoE,Paper Baseline,64,1,272099.0,0.12513020833333333,0.12533854166666666,0.060572916666666664,0.31104166666666666,0.6889583333333333,7.085911458333333,38400,0.0
expertflow_plec,ExpertFlow PLEC,Paper Baseline,64,1,284483.2000000001,0.12231770833333333,0.12361979166666667,0.02578125,0.27171875,0.72828125,7.408416666666667,38400,0.0
topk_ours,Top-K (Ours),Our Contribution,64,1,244050.0,0.0,0.0,0.0,0.0,1.0,10.0,24405,0.0
multilook_ours,Multi-Look-Ahead (Ours),Our Contribution,64,1,244050.0,0.0,0.0,0.0,0.0,1.0,10.0,24405,0.0
intelligent_dedup_ours,Intelligent+Deduplication (Ours),Our Complete Solution,64,1,186604.8000000001,0.01057160417947142,0.23544355664822783,0.001557057979922147,0.24757221880762137,0.7524277811923786,7.646170866625691,24405,36.4453125
on_demand,On-Demand,Baseline,64,2,274186.70000000007,0.12244791666666667,0.12388020833333334,0.058828125,0.30515625,0.69484375,7.140278645833334,38400,0.0
pregated_moe,Pre-gated MoE,Paper Baseline,64,2,274018.1000000002,0.1228125,0.12356770833333333,0.059296875,0.3056770833333333,0.6943229166666667,7.135888020833333,38400,0.0
expertflow_plec,ExpertFlow PLEC,Paper Baseline,64,2,285023.20000000024,0.123359375,0.12153645833333333,0.025208333333333333,0.2701041666666667,0.7298958333333333,7.422479166666667,38400,0.0
topk_ours,Top-K (Ours),Our Contribution,64,2,243240.0,0.0,0.0,0.0,0.0,1.0,10.0,24324,0.0
multilook_ours,Multi-Look-Ahead (Ours),Our Contribution,64,2,243240.0,0.0,0.0,0.0,0.0,1.0,10.0,24324,0.0
intelligent_dedup_ours,Intelligent+Deduplication (Ours),Our Complete Solution,64,2,185672.90000000002,0.011470152935372471,0.232774214767308,0.005221180726854136,0.2494655484295346,0.7505344515704654,7.633320999835553,24324,36.65625
on_demand,On-Demand,Baseline,64,3,272863.90000000026,0.12393229166666667,0.1259375,0.058854166666666666,0.3087239583333333,0.6912760416666667,7.105830729166668,38400,0.0
pregated_moe,Pre-gated MoE,Paper Baseline,64,3,272474.0,0.12408854166666666,0.12528645833333332,0.060703125,0.310078125,0.689921875,7.095677083333333,38400,0.0
expertflow_plec,ExpertFlow PLEC,Paper Baseline,64,3,283698.1999999999,0.12361979166666667,0.12309895833333333,0.02734375,0.2740625,0.7259375,7.387973958333333,38400,0.0
topk_ours,Top-K (Ours),Our Contribution,64,3,243170.0,0.0,0.0,0.0,0.0,1.0,10.0,24317,0.0
multilook_ours,Multi-Look-Ahead (Ours),Our Contribution,64,3,243170.0,0.0,0.0,0.0,0.0,1.0,10.0,24317,0.0
intelligent_dedup_ours,Intelligent+Deduplication (Ours),Our Complete Solution,64,3,185623.20000000007,0.012213677674055188,0.23288234568408933,0.004153472879055805,0.24924949623720027,0.7507505037627997,7.6334745239955595,24317,36.67447916666667
on_demand,On-Demand,Baseline,64,4,273110.0,0.12213541666666666,0.12588541666666667,0.06033854166666667,0.308359375,0.691640625,7.112239583333333,38400,0.0
pregated_moe,Pre-gated MoE,Paper Baseline,64,4,274036.19999999995,0.12244791666666667,0.1246875,0.058359375,0.3054947916666667,0.6945052083333333,7.1363593750000005,38400,0.0
expertflow_plec,ExpertFlow PLEC,Paper Baseline,64,4,284679.2000000001,0.12244791666666667,0.12380208333333333,0.024765625,0.271015625,0.728984375,7.413520833333334,38400,0.0
topk_ours,Top-K (Ours),Our Contribution,64,4,245160.0,0.0,0.0,0.0,0.0,1.0,10.0,24516,0.0
multilook_ours,Multi-Look-Ahead (Ours),Our Contribution,64,4,245160.0,0.0,0.0,0.0,0.0,1.0,10.0,24516,0.0
intelligent_dedup_ours,Intelligent+Deduplication (Ours),Our Complete Solution,64,4,186675.40000000002,0.00974873551966063,0.23882362538750204,0.0025289606787404144,0.25110132158590304,0.748898678414097,7.614431391744167,24516,36.15625
