strategy,strategy_display_name,category,batch_size,replication,total_latency,l1_hit_rate,l2_hit_rate,l3_hit_rate,overall_hit_rate,miss_rate,average_cache_latency,total_accesses,deduplication_efficiency
topk_ours,Top-K (Ours),Our Contribution,8,0,39197.49999999991,0.09440175631174534,0.03973655323819978,0.010318331503841932,0.14445664105378708,0.8555433589462129,8.605378704720088,4555,0.0
multilook_ours,Multi-Look-Ahead (Ours),Our Contribution,8,0,45550.0,0.0,0.0,0.0,0.0,1.0,10.0,4555,0.0
intelligent_dedup_ours,Intelligent+Deduplication (Ours),Our Complete Solution,8,0,33850.69999999998,0.11899012074643249,0.1319429198682766,0.01712403951701427,0.26805708013172336,0.7319429198682766,7.431547749725576,4555,5.104166666666667
on_demand,On-Demand,Baseline,8,1,34918.699999999975,0.11916666666666667,0.11479166666666667,0.056875,0.2908333333333334,0.7091666666666666,7.274729166666666,4800,0.0
pregated_moe,Pre-gated MoE,Paper Baseline,8,1,34638.799999999996,0.11729166666666667,0.12270833333333334,0.05708333333333333,0.29708333333333337,0.7029166666666666,7.216416666666667,4800,0.0
expertflow_plec,ExpertFlow PLEC,Paper Baseline,8,1,36625.39999999998,0.120625,0.10479166666666667,0.0225,0.24791666666666667,0.7520833333333333,7.630291666666667,4800,0.0
topk_ours,Top-K (Ours),Our Contribution,8,1,40125.399999999936,0.08638456478842359,0.031572023679017756,0.00591975443981583,0.12387634290725713,0.8761236570927429,8.797500548125411,4561,0.0
multilook_ours,Multi-Look-Ahead (Ours),Our Contribution,8,1,45610.0,0.0,0.0,0.0,0.0,1.0,10.0,4561,0.0
intelligent_dedup_ours,Intelligent+Deduplication (Ours),Our Complete Solution,8,1,33918.99999999996,0.1249725937294453,0.129796097347073,0.011620258715194036,0.26638894979171235,0.7336110502082877,7.436746327559746,4561,4.979166666666666
on_demand,On-Demand,Baseline,8,2,34352.89999999999,0.12479166666666666,0.11958333333333333,0.058958333333333335,0.30333333333333334,0.6966666666666667,7.156854166666667,4800,0.0
pregated_moe,Pre-gated MoE,Paper Baseline,8,2,34716.99999999996,0.11770833333333333,0.12020833333333333,0.0575,0.29541666666666666,0.7045833333333333,7.232708333333333,4800,0.0
expertflow_plec,ExpertFlow PLEC,Paper Baseline,8,2,37186.39999999999,0.11125,0.10208333333333333,0.022708333333333334,0.2360416666666667,0.7639583333333333,7.747166666666667,4800,0.0
topk_ours,Top-K (Ours),Our Contribution,8,2,37300.699999999946,0.09606506924598814,0.07957792921521213,0.011650912288415036,0.18729391074961532,0.8127060892503847,8.199758188612881,4549,0.0
