,,,memory_savings_percent,memory_savings_percent,bandwidth_savings_percent,bandwidth_savings_percent,reuse_factor,reuse_factor,unique_requests,total_requests
,,,mean,std,mean,std,mean,std,mean,mean
batch_size,experts_per_item,locality_factor,,,,,,,,
16,16,0.3,57.58,1.13,57.58,1.13,0.58,0.01,108.6,256.0
16,16,0.5,59.06,1.92,59.06,1.92,0.59,0.02,104.8,256.0
16,16,0.7,61.09,2.57,61.09,2.57,0.61,0.03,99.6,256.0
32,2,0.1,19.06,2.8,19.06,2.8,0.19,0.03,51.8,64.0
32,2,0.3,19.06,2.8,19.06,2.8,0.19,0.03,51.8,64.0
32,2,0.5,19.06,2.8,19.06,2.8,0.19,0.03,51.8,64.0
32,2,0.7,31.88,5.7,31.88,5.7,0.32,0.06,43.6,64.0
32,4,0.1,35.78,3.14,35.78,3.14,0.36,0.03,82.2,128.0
32,4,0.3,38.12,1.4,38.12,1.4,0.38,0.01,79.2,128.0
32,4,0.5,40.78,2.5,40.78,2.5,0.41,0.02,75.8,128.0
32,4,0.7,46.09,4.24,46.09,4.24,0.46,0.04,69.0,128.0
32,8,0.1,56.33,2.0,56.33,2.0,0.56,0.02,111.8,256.0
32,8,0.3,56.64,1.17,56.64,1.17,0.57,0.01,111.0,256.0
32,8,0.5,59.53,1.53,59.53,1.53,0.6,0.02,103.6,256.0
32,8,0.7,60.78,1.19,60.78,1.19,0.61,0.01,100.4,256.0
32,16,0.1,75.55,0.25,75.55,0.25,0.76,0.0,125.2,512.0
32,16,0.3,75.47,0.3,75.47,0.3,0.75,0.0,125.6,512.0
32,16,0.5,75.66,0.22,75.66,0.22,0.76,0.0,124.6,512.0
32,16,0.7,76.17,0.44,76.17,0.44,0.76,0.0,122.0,512.0
64,2,0.1,35.94,1.24,35.94,1.24,0.36,0.01,82.0,128.0
64,2,0.3,35.94,1.24,35.94,1.24,0.36,0.01,82.0,128.0
64,2,0.5,35.94,1.24,35.94,1.24,0.36,0.01,82.0,128.0
64,2,0.7,42.81,3.68,42.81,3.68,0.43,0.04,73.2,128.0
64,4,0.1,56.8,1.76,56.8,1.76,0.57,0.02,110.6,256.0
64,4,0.3,56.33,1.18,56.33,1.18,0.56,0.01,111.8,256.0
64,4,0.5,59.22,1.25,59.22,1.25,0.59,0.01,104.4,256.0
64,4,0.7,61.41,1.5,61.41,1.5,0.61,0.01,98.8,256.0
64,8,0.1,75.43,0.32,75.43,0.32,0.75,0.0,125.8,512.0
64,8,0.3,75.51,0.22,75.51,0.22,0.76,0.0,125.4,512.0
64,8,0.5,76.02,0.29,76.02,0.29,0.76,0.0,122.8,512.0
64,8,0.7,76.68,0.49,76.68,0.49,0.77,0.0,119.4,512.0
64,16,0.1,87.5,0.0,87.5,0.0,0.88,0.0,128.0,1024.0
64,16,0.3,87.5,0.0,87.5,0.0,0.88,0.0,128.0,1024.0
64,16,0.5,87.5,0.0,87.5,0.0,0.88,0.0,128.0,1024.0
64,16,0.7,87.52,0.04,87.52,0.04,0.88,0.0,127.8,1024.0
